category,product,sales,region,month
Электроника,Смартфон,45000,Центр,Январь
Одежда,Куртка,12000,Север,Январь
Продукты,Кофемашина,25000,Юг,Январь
Книги,Энциклопедия,4500,Сибирь,Январь
Спорт,Тренажер,35000,Восток,Январь
Электроника,Ноутбук,85000,Центр,Январь
Одежда,Джинсы,7500,Юг,Январь
Продукты,Чайный набор,2100,Север,Январь
Книги,Роман-детектив,1100,Центр,Январь
Спорт,Фитнес-браслет,6500,Сибирь,Январь
Электроника,Смартфон,48000,Юг,Февраль
Одежда,Джинсы,8000,Север,Февраль
Продукты,Чайный набор,3500,Восток,Февраль
Одежда,Куртка,15000,Центр,Февраль
Книги,Роман-детектив,1200,Сибирь,Февраль
Спорт,Велосипед,28000,Центр,Февраль
Электроника,Наушники,14000,Восток,Февраль
Продукты,Кофемашина,26000,Сибирь,Февраль
Книги,Учебник Python,5500,Юг,Февраль
Спорт,Тренажер,32000,Север,Февраль
Электроника,Ноутбук,90000,Восток,Март
Продукты,Кофемашина,27000,Юг,Март
Одежда,Джинсы,9500,Центр,Март
Электроника,Смартфон,52000,Север,Март
Спорт,Тренажер,37000,Сибирь,Март
Книги,Учебник Python,6800,Центр,Март
Одежда,Куртка,18000,Восток,Март
Продукты,Чайный набор,4200,Юг,Март
Электроника,Наушники,16500,Сибирь,Март
Спорт,Велосипед,31000,Север,Март
Электроника,Смартфон,60000,Центр,Апрель
Продукты,Кофемашина,22000,Восток,Апрель
Одежда,Куртка,7000,Юг,Апрель
Электроника,Наушники,15000,Север,Апрель
Книги,Энциклопедия,5100,Восток,Апрель
Спорт,Фитнес-браслет,8900,Юг,Апрель
Одежда,Джинсы,11000,Сибирь,Апрель
Книги,Учебник Python,7200,Север,Апрель
Продукты,Чайный набор,3900,Центр,Апрель
Электроника,Ноутбук,92000,Юг,Апрель
Электроника,Ноутбук,95000,Центр,Май
Одежда,Куртка,11000,Восток,Май
Продукты,Кофемашина,31000,Сибирь,Май
Спорт,Велосипед,32000,Юг,Май
Книги,Учебник Python,8500,Север,Май
Электроника,Наушники,17000,Центр,Май
Одежда,Джинсы,12000,Сибирь,Май
Продукты,Чайный набор,4800,Восток,Май
Книги,Роман-детектив,2500,Центр,Май
Спорт,Тренажер,41000,Юг,Май
Электроника,Смартфон,65000,Сибирь,Июнь
Спорт,Велосипед,42000,Центр,Июнь
Продукты,Кофемашина,29000,Север,Июнь
Одежда,Джинсы,14000,Восток,Июнь
Книги,Роман-детектив,2100,Юг,Июнь
Электроника,Ноутбук,105000,Юг,Июнь
Спорт,Фитнес-браслет,11500,Восток,Июнь
Одежда,Куртка,13500,Север,Июнь
Продукты,Чайный набор,5300,Центр,Июнь
Книги,Энциклопедия,6200,Сибирь,Июнь
Электроника,Смартфон,58000,Восток,Июнь
Одежда,Куртка,16000,Юг,Июнь
Продукты,Кофемашина,33000,Центр,Июнь
Книги,Учебник Python,9100,Восток,Июнь
Спорт,Тренажер,45000,Север,Июнь
