query,intent
покажи продажи по категориям,category_pie
выведи долю выручки для каждой категории товара,category_pie
какое распределение продаж по категориям,category_pie
круговая диаграмма продаж по категориям,category_pie
построй график долей категорий в общей выручке,category_pie
сделай разбивку продаж по категориям,category_pie
структура продаж по категориям товаров,category_pie
какие категории приносят больше всего денег,category_pie
визуализируй доли товарных категорий,category_pie
срез выручки по отделам,category_pie
процентное соотношение продаж по категориям,category_pie
нарисуй пирог по категориям товаров,category_pie
какой вклад у каждой категории в общий доход,category_pie
распределение прибыли по товарным группам,category_pie
дай круговой график по категориям,category_pie
какая доля рынка у каждого отдела,category_pie
отобрази категории в виде секторов,category_pie
круговая диаграмма выручки по группам,category_pie
покажи доходность по категориям товаров,category_pie
как распределился доход между категориями,category_pie
структура доходов по отделам продаж,category_pie
процентный срез по товарным категориям,category_pie
сделай пай-чарт по категориям,category_pie
выведи соотношение продаж по группам товаров,category_pie
какая категория лидирует в процентах,category_pie
покажи долевое участие категорий,category_pie
график пирога по выручке отделов,category_pie
диаграмма долей категорий,category_pie
как соотносятся продажи разных категорий,category_pie
дай структуру выручки по типам товаров,category_pie
круговой отчет по категориям,category_pie
покажи профит по категориям в процентах,category_pie
удельный вес каждой категории в продажах,category_pie
распределение продаж по типам продукции,category_pie
выведи секторальную диаграмму категорий,category_pie
покажи продажи по направлениям,category_pie
круговая визуализация доходов по категориям,category_pie
дай разбивку выручки по секторам,category_pie
структура продаж в виде круга,category_pie
покажи распределение по товарным сегментам,category_pie
выведи круговую диаграмму долей отделов,category_pie
отчет по категориям с круговым графиком,category_pie
визуализация долей выручки по товарным группам,category_pie
как распределились чеки по категориям,category_pie
доля прибыли каждой категории,category_pie
нарисуй круговую диаграмму для категорий,category_pie
покажи продажи по группам продукции,category_pie
процентный график по категориям,category_pie
сделай круговой чарт доходов по отделам,category_pie
выведи круговую диаграмму категорий,category_pie
покажи динамику продаж по месяцам,month_line
как менялась выручка по месяцам,month_line
график тренда продаж по времени,month_line
выведи объем продаж за каждый месяц,month_line
какое изменение прибыли по месяцам,month_line
построй линейный график продаж по месяцам,month_line
история продаж по месяцам года,month_line
динамика выручки помесячно,month_line
как растут или падают продажи по месяцам,month_line
покажи хронологию продаж с начала года,month_line
выведи график доходов по временным периодам,month_line
отследить тренд выручки по месяцам,month_line
график прибыли по месяцам,month_line
какова динамика доходов по месяцам,month_line
нарисуй линию продаж по месяцам,month_line
покажи график выручки в разрезе месяцев,month_line
как распределились продажи по времени,month_line
выведи помесячный отчет по продажам,month_line
изменение объема продаж по месяцам,month_line
построй график тренда помесячно,month_line
динамика оборота по месяцам,month_line
какой график у продаж по месяцам,month_line
выведи историю доходов по месяцам,month_line
покажи график развития выручки,month_line
линейный график продаж по месяцам,month_line
как шло изменение выручки по месяцам,month_line
сделай таймлайн продаж по месяцам,month_line
покажи график выручки помесячно,month_line
какие продажи были по месяцам график,month_line
выведи временной график выручки,month_line
динамика торгового оборота помесячно,month_line
покажи помесячный тренд доходов,month_line
как колеблется выручка по месяцам,month_line
нарисуй линейный тренд по месяцам,month_line
построй хронологический график продаж,month_line
как вела себя выручка по месяцам,month_line
выведи линию прибыли по месяцам,month_line
покажи динамику поступлений по месяцам,month_line
график объемов продаж по месяцам,month_line
какой тренд у выручки по месяцам,month_line
динамика общих продаж помесячно,month_line
покажи график продаж за полгода,month_line
выведи линейную диаграмму по месяцам,month_line
динамика доходов компании по месяцам,month_line
как менялся оборот по месяцам,month_line
построй график помесячной прибыли,month_line
выведи график динамики выручки,month_line
покажи линию тренда продаж по месяцам,month_line
помесячная динамика объемов выручки,month_line
нарисуй график продаж по месяцам,month_line
выведи топ 5 самых продаваемых товаров,product_bar
какие продукты лидируют по продажам,product_bar
покажи самые прибыльные товары гистограммой,product_bar
построй столбчатую диаграмму лучших товаров,product_bar
рейтинг товаров по объему выручки,product_bar
топ товаров по продажам,product_bar
какие 5 товаров продаются лучше всего,product_bar
самые популярные продукты в магазине,product_bar
выведи список бестселлеров в виде графика,product_bar
какие товары принесли наибольший доход,product_bar
покажи 5 самых ходовых позиций,product_bar
сделай чарт по лидерам продаж среди продуктов,product_bar
столбчатая диаграмма популярных товаров,product_bar
выведи рейтинг продуктов по продажам,product_bar
какие товары в топе по выручке,product_bar
построй гистограмму лучших товаров,product_bar
топ 5 продуктов по выручке,product_bar
покажи лидеров продаж среди товаров,product_bar
какие продукты приносят основной доход,product_bar
самые продаваемые позиции на графике,product_bar
выведи бестселлеры компании,product_bar
построй график самых продаваемых продуктов,product_bar
какие товары лидируют в этом сезоне,product_bar
рейтинг прибыльности товаров,product_bar
покажи столбчатый график топ товаров,product_bar
выведи 5 лучших товаров по продажам,product_bar
самые кассовые товары на графике,product_bar
построй диаграмму популярных продуктов,product_bar
какие товары продаются лучше остальных,product_bar
топ продуктов по сумме продаж,product_bar
выведи гистограмму топ 5 товаров,product_bar
покажи самые ходовые товары,product_bar
какие позиции лидируют по выручке,product_bar
сделай график лучших товаров,product_bar
рейтинг продаж по конкретным товарам,product_bar
построй чарт бестселлеров,product_bar
какие продукты самые прибыльные,product_bar
выведи самые продаваемые товары,product_bar
покажи график лидеров рынка,product_bar
топ товаров по объему прибыли,product_bar
какие товары принесли больше всего выручки,product_bar
построй столбчатый рейтинг товаров,product_bar
выведи топ продуктов гистограммой,product_bar
самые популярные товары компании график,product_bar
какие продукты продаются на ура,product_bar
покажи топ 5 позиций по выручке,product_bar
нарисуй столбчатую диаграмму товаров,product_bar
выведи лидеров продаж компании,product_bar
рейтинг товаров по выручке график,product_bar
покажи самые кассовые товары,product_bar
какие регионы приносят больше выручки,region_bar
покажи продажи по городам и регионам,region_bar
сравни выручку в разных регионах,region_bar
столбчатая диаграмма продаж по филиалам,region_bar
эффективность регионов по продажам,region_bar
где больше всего покупают наши товары,region_bar
выведи распределение выручки по регионам,region_bar
география продаж нашей компании,region_bar
построй график продаж по филиалам страны,region_bar
какой регион на первом месте по прибыли,region_bar
результаты продаж по территориальным округам,region_bar
покажи гистограмму выручки по регионам,region_bar
сравнение региональных филиалов по продажам,region_bar
выведи график выручки по городам,region_bar
какой регион лидирует по продажам,region_bar
построй столбчатую диаграмму по регионам,region_bar
распределение прибыли по филиалам,region_bar
покажи продажи в разрезе регионов,region_bar
выручка компании по городам график,region_bar
где лучшие показатели продаж по регионам,region_bar
построй график региональной эффективности,region_bar
выведи объемы продаж по филиалам,region_bar
какие регионы лидируют по доходу,region_bar
покажи результаты регионов на графике,region_bar
столбчатый график продаж по городам,region_bar
сделай чарт по региональным филиалам,region_bar
какой город принес больше выручки,region_bar
построй гистограмму продаж по регионам,region_bar
выведи результаты работы филиалов,region_bar
эффективность городов по продажам график,region_bar
покажи географическое распределение продаж,region_bar
сравни продажи по регионам компании,region_bar
выведи гистограмму выручки филиалов,region_bar
какой регион самый прибыльный,region_bar
построй график продаж по городам,region_bar
объем выручки по регионам на графике,region_bar
покажи как продаются товары в регионах,region_bar
выведи рейтинг филиалов по выручке,region_bar
диаграмма эффективности регионов,region_bar
какие регионы продают лучше всего,region_bar
построй чарт по городам и областям,region_bar
выведи продажи региональных отделений,region_bar
покажи financial результаты регионов,region_bar
столбчатая диаграмма выручки по городам,region_bar
рейтинг городов по объему продаж,region_bar
как распределилась выручка по стране,region_bar
покажи продажи по округам компании,region_bar
выведи гистограмму региональных продаж,region_bar
сравнение выручки филиалов на графике,region_bar
построй график продаж по регионам,region_bar
покажи гистограмму распределения чеков,sales_hist
какие суммы сделок встречаются чаще всего,sales_hist
построй график распределения величины продаж,sales_hist
распределение сумм продаж гистограммой,sales_hist
выведи частоту встречаемости размеров чеков,sales_hist
каков разброс сумм продаж в компании,sales_hist
гистограмма плотности величины заказов,sales_hist
покажи частотное распределение выручки,sales_hist
какие чеки преобладают мелкие или крупные,sales_hist
построй график распределения чеков,sales_hist
визуализируй частоту сумм транзакций,sales_hist
выведи гистограмму стоимости заказов,sales_hist
какие суммы клиенты тратят чаще всего,sales_hist
анализ плотности сумм покупок,sales_hist
сделай гистограмму по суммам сделок,sales_hist
покажи структуру чеков компании,sales_hist
каково распределение размеров транзакций,sales_hist
гистограмма объемов единичных продаж,sales_hist
выведи график частотности размеров выручки,sales_hist
распределение стоимости покупок,sales_hist
покажи плотность распределения чеков,sales_hist
построй гистограмму цен продаж,sales_hist
какой размер сделки самый частый,sales_hist
выведи частотный график сумм покупок,sales_hist
распределение объемов транзакций на графике,sales_hist
гистограмма распределения доходов со сделок,sales_hist
покажи разброс цен в заказах,sales_hist
какова частота крупных и мелких чеков,sales_hist
визуализация распределения сумм договоров,sales_hist
построй гистограмму по объему чека,sales_hist
выведи плотность продаж по суммам,sales_hist
как распределены чеки по величине,sales_hist
частотная диаграмма стоимости заказов,sales_hist
покажи график распределения продаж по суммам,sales_hist
какие чеки мы чаще всего пробиваем,sales_hist
гистограмма стоимости покупок клиентов,sales_hist
выведи распределение выручки со сделок,sales_hist
построй частотный график чеков,sales_hist
какой диапазон сумм самый популярный,sales_hist
покажи гистограмму объемов договоров,sales_hist
распределение величины сделок на графике,sales_hist
выведи структуру чеков гистограммой,sales_hist
какие объемы продаж фиксируются чаще,sales_hist
построй график частоты сумм заказов,sales_hist
анализ распределения чеков на графике,sales_hist
покажи гистограмму доходов с продаж,sales_hist
выведи плотность сумм транзакций в базе,sales_hist
распределение размеров чеков компании,sales_hist
частотный график величины продаж,sales_hist
построй гистограмму распределения выручки,sales_hist
покажи тепловую карту продаж,region_category_heatmap
построй матрицу регионов и категорий,region_category_heatmap
выведи heatmap категорий по регионам,region_category_heatmap
карта интенсивности продаж по городам и товарам,region_category_heatmap
пересечение регионов и товарных групп,region_category_heatmap
построй тепловую матрицу выручки,region_category_heatmap
сделай тепловую карту регионы и категории,region_category_heatmap
матричный анализ продаж по стране,region_category_heatmap
визуализируй сетку продаж категорий по филиалам,region_category_heatmap
карта распределения товаров по регионам,region_category_heatmap
покажи heatmap эффективности филиалов и продуктов,region_category_heatmap
матрица выручки по округам и группам,region_category_heatmap
тепловой график пересечения городов и категорий,region_category_heatmap
срез категорий в разрезе регионов матрицей,region_category_heatmap
построй хитмап продаж товаров по регионам,region_category_heatmap
карта интенсивности выручки компании,region_category_heatmap
выведи тепловую таблицу продаж по стране,region_category_heatmap
матричная визуализация продаж товаров и городов,region_category_heatmap
покажи зависимость продаж от региона и категории,region_category_heatmap
тепловая карта товарного ассортимента по регионам,region_category_heatmap
построй двухмерный график продаж по филиалам,region_category_heatmap
двухмерная матрица выручки на карте,region_category_heatmap
выведи хитмап эффективности категорий по городам,region_category_heatmap
сделай тепловую матрицу по продажам,region_category_heatmap
карта плотности продаж продуктов по регионам,region_category_heatmap
матричный срез выручки по группам товаров,region_category_heatmap
покажи heatmap распределения доходов по стране,region_category_heatmap
тепловая карта бизнес результатов филиалов,region_category_heatmap
построй координатную сетку продаж товаров,region_category_heatmap
выведи матрицу зависимости выручки от региона,region_category_heatmap
хитмап категорий товаров по филиалам,region_category_heatmap
тепловая карта объемов продаж по матрице,region_category_heatmap
покажи пересечение товарных категорий и городов,region_category_heatmap
